d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah,is_ramadan,hijri_date
2019-04-24,04:09:00,04:44:00,05:44:00,13:04:00,13:30:00,16:56:00,16:56:00,18:00:00,20:15:00,20:20:00,21:28:00,21:45:00,0,0
2019-04-25,04:07:00,04:42:00,05:42:00,13:04:00,13:30:00,16:56:00,16:56:00,18:00:00,20:16:00,20:21:00,21:29:00,21:45:00,0,0
2019-04-26,04:05:00,04:40:00,05:40:00,13:03:00,13:15:00,16:57:00,16:57:00,18:30:00,20:18:00,20:23:00,21:30:00,22:00:00,0,0
2019-04-27,04:02:00,04:38:00,05:38:00,13:03:00,13:30:00,16:58:00,16:58:00,18:30:00,20:20:00,20:25:00,21:32:00,22:00:00,0,0
2019-04-28,04:00:00,04:36:00,05:36:00,13:03:00,13:30:00,16:58:00,16:58:00,18:30:00,20:21:00,20:26:00,21:33:00,22:00:00,0,0
2019-04-29,03:58:00,04:34:00,05:34:00,13:03:00,13:30:00,16:59:00,16:59:00,18:30:00,20:23:00,20:28:00,21:34:00,22:00:00,0,0
2019-04-30,03:55:00,04:32:00,05:32:00,13:03:00,13:30:00,17:00:00,17:00:00,18:30:00,20:25:00,20:30:00,21:36:00,22:00:00,0,0
2019-05-01,03:52:00,04:30:00,05:30:00,13:03:00,13:30:00,17:00:00,17:00:00,18:30:00,20:26:00,20:31:00,21:37:00,22:00:00,0,0
2019-05-02,03:50:00,04:28:00,05:28:00,13:03:00,13:30:00,17:01:00,17:01:00,18:30:00,20:28:00,20:33:00,21:39:00,22:00:00,0,0
2019-05-03,03:47:00,04:26:00,05:26:00,13:02:00,13:15:00,17:02:00,17:02:00,18:30:00,20:30:00,20:35:00,21:41:00,22:15:00,0,0
2019-05-04,03:46:00,04:25:00,05:25:00,13:02:00,13:30:00,17:02:00,17:02:00,18:30:00,20:31:00,20:36:00,21:42:00,22:15:00,0,0
2019-05-05,03:43:00,04:23:00,05:23:00,13:02:00,13:30:00,17:03:00,17:03:00,18:30:00,20:33:00,20:38:00,21:44:00,22:15:00,0,0
